id,type,properties,geometry,country
72,Feature,"{'id': '1095', 'modern': 'Ober-Olm', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.190956, 49.937601]}",['DE']
73,Feature,"{'id': '1124', 'modern': 'Traben-Trarbach', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.1224960775742, 49.952988323755]}",['DE']
74,Feature,"{'id': '1132', 'modern': 'Kenn', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.72585821897, 49.800454376]}",['DE']
75,Feature,"{'id': '1135', 'modern': 'Longuich', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': -30, 'endyear': 640}","{'type': 'Point', 'coordinates': [6.7646247, 49.8039688]}",['DE']
76,Feature,"{'id': '1138', 'modern': 'Pölich', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.8483942651318, 49.796438868419]}",['DE']
77,Feature,"{'id': '1142', 'modern': 'Ensch', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.8360628559437, 49.825728515864]}",['DE']
78,Feature,"{'id': '1144', 'modern': 'Klüsserath', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.8619260637997, 49.845830737035]}",['DE']
79,Feature,"{'id': '1146', 'modern': 'Leiwen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.88184168975, 49.8221545015]}",['DE']
80,Feature,"{'id': '1150', 'modern': 'Veldenz', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.02335807011, 49.8894563391]}",['DE']
81,Feature,"{'id': '1156', 'modern': 'Auf der Hals', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.90663245031, 49.9660856355]}",['DE']
82,Feature,"{'id': '1161', 'modern': 'Bickendorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.492302779429, 50.044146042954]}",['DE']
83,Feature,"{'id': '1163', 'modern': 'Birgel', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.61743276369, 50.3210193554]}",['DE']
84,Feature,"{'id': '1168', 'modern': 'Bleialf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.2818760169019, 50.232825326834]}",['DE']
85,Feature,"{'id': '1176', 'modern': 'Ernzen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.42634913386, 49.8413244837]}",['DE']
86,Feature,"{'id': '1179', 'modern': 'Ferschweiler', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.4212070990616, 49.858893774512]}",['DE']
87,Feature,"{'id': '1185', 'modern': 'Im Hewel', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.4737054531839, 50.064553171155]}",['DE']
88,Feature,"{'id': '1188', 'modern': 'Hohenfels', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.74175324106, 50.2459419005]}",['DE']
89,Feature,"{'id': '1189', 'modern': 'Holsthum', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.42325612946, 49.8884204966]}",['DE']
90,Feature,"{'id': '1191', 'modern': 'Idenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.5724381618784, 49.899213135075]}",['DE']
91,Feature,"{'id': '1195', 'modern': 'Ingendorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.43190428219, 49.9356698876]}",['DE']
92,Feature,"{'id': '1210', 'modern': 'Malbergweich', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.53980194886, 50.0452754756]}",['DE']
93,Feature,"{'id': '1213', 'modern': 'Menningen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.4773690768751, 49.839344823776]}",['DE']
94,Feature,"{'id': '1215', 'modern': 'Mettendorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.3492256516443, 49.936875711761]}",['DE']
95,Feature,"{'id': '1222', 'modern': 'Auf dem Rautenberg', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.57871696144, 49.8578147792]}",['DE']
96,Feature,"{'id': '1228', 'modern': 'Orenhofen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.6553833173989, 49.907535620689]}",['DE']
97,Feature,"{'id': '19384', 'modern': 'Nusbaum', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.3633705711327, 49.901090414836]}",['DE']
98,Feature,"{'id': '1233', 'modern': 'Godendorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.49942311874, 49.8179960742]}",['DE']
99,Feature,"{'id': '1235', 'modern': 'An der Zinzigerbach', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.52172744066, 49.7720846999]}",['DE']
